id,spend_list,total,month,year,created_at,updated_at
5,"{""Mata kail"":""10.60"",""Minyak"":""20"",""No pin bsn"":""10"",""Makan"":""17"",""Seluar"":""90"",""Boxer"":""15"",""Purse"":""10"",""Ladung"":""10"",""Sabun"":""4.5"",""Br"":""10"",""Affin"":""10"",""Th"":""10"",""Cimb"":""10"",""Ptptn"":""150"",""Sewa"":""100"",""Baju"":""30"",""Pos jala"":""20"",""Rumah os"":""40"",""Jahit kasut"":""35"",""Kfc"":""10.5"",""Roti canai"":""4.8"",""Roti"":""2.50"",""Plastic sampah"":""2.5"",""Cikedis"":""1.50"",""Rokok"":""3.50"",""Umpan baung"":""41.10"",""Cartridge"":""12"",""Kiwi n tape"":""5.70"",""Mancing"":""8.9"",""Tangsi"":""1.20"",""Air"":""2"",""Flavor"":""20"",""Topap"":""30"",""Keto"":""15""}",896.4,8,2021,01/04/2023 10:50,01/04/2023 10:50
6,"{""Bimb"":""10"",""Cimb"":""10"",""Br"":""10"",""Affin"":""10"",""Ptptn"":""150"",""Th"":""10"",""Sewa"":""100"",""Minyak rambut"":""5.9"",""TnG"":""20"",""Minyak moto"":""2"",""Minyak keto"":""5"",""Nasi"":""6"",""Payung"":""19.90"",""Roti"":""2.4"",""Gari n tali"":""7.80"",""Roti air"":""4"",""Sabun"":""4.5"",""Slipar"":""19.9"",""Coolblog"":""3.9"",""Ktm"":""5"",""Minyak"":""4"",""Mkn"":""8"",""puspakom"":""60"",""ateh pinjam"":""50"",""Makan"":""6"",""minyak"":""10"",""Megi"":""6"",""Ioi"":""5"",""servis keto"":""182"",""Shopee"":""4"",""kfc"":""12"",""roti"":""2.4"",""Air"":""1.5"",""Rkok"":""3.5""}",818.7,9,2021,01/04/2023 17:55,01/04/2023 17:55
7,"{""bimb"":""10"",""cimb"":""10"",""br"":""10"",""affin"":""10"",""th"":""10 "",""ptptn"":""150"",""sewa n hutang"":""105"",""Grab"":""20"",""Ktm"":""10"",""Ibu"":""50"",""Makan"":""12"",""minyak"":""20"",""tngo"":""10"",""Baju"":""89"",""Mouse"":""65"",""Tiket"":""3"",""repair kasut"":""5"",""makan"":""9"",""roti canai"":""5"",""Gunting rambut"":""15"",""Catrdige n flavor"":""27"",""Lauk"":""10"",""Strbuck"":""10"",""Minyak"":""10"",""Nasi"":""5"",""Roti canai"":""2.4"",""Roti"":""2.3"",""Perfume"":""10"",""Minyak power steering"":""30"",""wayang"":""29""}",846.7,10,2021,01/04/2023 17:56,01/04/2023 17:56
8,"{""bimb"":""10"",""cimb"":""10"",""br"":""10"",""affin"":""10"",""th"":""10"",""ptptn"":""150"",""Makan"":""11"",""Catrdige"":""12"",""Wayang"":""36"",""Minyak"":""10"",""Tngo"":""20"",""Alignment"":""30"",""Mkn"":""5"",""Topap"":""30"",""Minum"":""2"",""Org kawin"":""10"",""Minyak itam"":""145"",""sewa"":""150"",""Burger"":""8"",""Catridge"":""12"",""Moto"":""70"",""Netflix"":""5"",""Bege"":""17.5"",""Roti canai"":""16"",""minyak"":""10"",""Asb"":""10"",""Wd40"":""3.5"",""Dobi"":""10"",""Wd40 & screwdriver"":""11.50"",""Rkok daun"":""4"",""Ais"":""2"",""Shopping"":""36"",""Keta"":""218"",""Basuh keta"":""8"",""Nasi lemak n donut"":""5.5"",""Baju, singlet, bateri"":""30"",""sewa + deposit rumah"":""934"",""makan"":""8.5"",""Renew lesen"":""165"",""Barang"":""169"",""Tisu"":""1"",""Rokok"":""15"",""Spek mata"":""197"",""duti setem"":""30"",""Rkok"":""3.5"",""Hotel"":""20"",""Baju"":""85"",""Mkan"":""13""}",3270.5,11,2021,01/04/2023 17:58,01/04/2023 17:58
9,"{""bank"":""4"",""th"":""10"",""Mkn"":""5"",""Luno"":""50"",""Vape"":""78"",""Minyak"":""20"",""T&go"":""10"",""Haziq kawin"":""50"",""Makan"":""7"",""Gunting rambut"":""13"",""Ikat paip"":""3.1"",""Tngo"":""10"",""Ubat & panadol"":""15"",""Test kit"":""4.5"",""Ubat"":""71"",""Parking"":""3"",""Rkok"":""4.5"",""Wayang"":""37"",""ptptn"":""150"",""minyak "":""10"",""Occ"":""10"",""Print"":""3.5"",""Roadtax"":""171"",""makan"":""5.60"",""minyak"":""20"",""Hadiah wan"":""14"",""Chair"":""197"",""Sewa"":""200"",""Bil air"":""6.6"",""Eskem"":""11.30"",""Tol"":""13"",""Occ n flavor"":""40"",""Topap"":""50"",""Ktm"":""5"",""Filmora"":""3"",""Kopi"":""17.50"",""monitor"":""559"",""tiket parking"":""2"",""ateh hutang"":""400"",""faris hutang"":""150""}",2695.7,12,2021,01/04/2023 18:02,01/04/2023 18:02
10,"{""bank"":""25"",""tabung haji"":""5"",""ptptn"":""150"",""makan"":""8"",""Gunting rambut"":""15"",""Dashboard wira cover"":""44"",""Pcr"":""170"",""Makan"":""7"",""kfc"":""15"",""mkn"":""12.4"",""Servis keta"":""120"",""Print"":""3"",""Kopi"":""10"",""Mkn"":""7.5"",""bege"":""4"",""Kad tngo"":""10"",""Minyak"":""20"",""Tngo"":""10"",""Tukar nama"":""3"",""Insuran moto"":""141"",""Kopiah"":""20"",""Cengkerik"":""4"",""Roadtax"":""2"",""Air"":""1.8"",""rkok"":""6.5"",""air"":""3.6"",""Roti canai"":""4.50"",""Bege"":""7"",""Vacuum"":""40"",""megi"":""5"",""Rkok"":""6.5"",""Karoke"":""54"",""Topap"":""35"",""huobi"":""50"",""Phone"":""600"",""Parking"":""13"",""minyak"":""10"",""nescafe"":""13.8"",""internet"":""3""}",1965.4,1,2022,01/04/2023 18:04,01/04/2023 18:04
11,"{""makan"":""4.3"",""bank"":""25"",""ptptn"":""150"",""bil air"":""4.13"",""ikan"":""50"",""topap"":""35"",""moto"":""200"",""tngo"":""20"",""roti"":""1"",""mkn"":""10"",""adapter"":""79"",""occ n flavor"":""35"",""minyak"":""3"",""rkok"":""3.5"",""flavor n occ"":""35"",""print"":""4.5"",""scan"":""3"",""seluar"":""50"",""air"":""3"",""beg"":""35.8"",""makanan ikan"":""7.5"",""air cond"":""850"",""sabun"":""24"",""extension"":""19"",""hose aircond"":""82.47"",""beli brg"":""32.20"",""sewa rumah"":""150"",""cake"":""17""}",2197.65,2,2022,01/04/2023 18:06,01/04/2023 18:06
12,"{""ptptn"":""150"",""hutang moto"":""200"",""rkok"":""6"",""bank"":""25"",""ayam"":""23"",""cartridge"":""10"",""air"":""15.5"",""tngo"":""10"",""mkn"":""11"",""ikan"":""80"",""ktm"":""10"",""minyak"":""15"",""kereta"":""222"",""minyak keto"":""20"",""car wash"":""10"",""kuih"":""21"",""tv"":""784"",""zakat"":""7"",""th"":""50""}",1764.5,3,2022,01/04/2023 18:07,01/04/2023 18:07
13,"{""picagari"":""0.6"",""mkn"":""10"",""topap"":""50"",""moto"":""34"",""megi"":""6.5"",""tngo"":""10"",""keta"":""4.15"",""rexona"":""11.9"",""netflix"":""4.3"",""grab"":""8"",""makan"":""8"",""minyak"":""20"",""duit raya"":""100"",""beli brg"":""7.1"",""gigi"":""900"",""sewa rumah"":""150"",""duit rayo"":""6"",""wayang"":""23"",""karok"":""10"",""rkok"":""6"",""Microsoft"":""2.50"",""shaver"":""35.1"",""roti canai"":""3"",""rkok + megi"":""11"",""bil air"":""5.6"",""kopi"":""9.9"",""kopiah"":""20 "",""parking"":""10"",""air mineral"":""18"",""takaful"":""125"",""bil api"":""18"",""rkok + air"":""11"",""tangguk"":""6"",""gunting rambut"":""13"",""vape"":""37"",""minum"":""10"",""mknn ikan"":""5"",""kuih"":""12.5"",""basuh keta"":""8""}",2560.85,4,2022,01/04/2023 18:08,01/04/2023 18:08
14,"{""ipoh"":""84.1"",""ptptn"":""150"",""th"":""25"",""mkn"":""8"",""bank"":""20"",""asb"":""100"",""vape"":""37"",""tngo"":""20"",""seluar"":""99"",""nescafe"":""14"",""hutang"":""21"",""minyak"":""3"",""dedak"":""5.5"",""bil api"":""21.45"",""parallel"":""12"",""rkok"":""6"",""umpan"":""25"",""mancing"":""30"",""roti"":""9.10"",""topap"":""19"",""post"":""6"",""mcd"":""20"",""stabak"":""20"",""roti + rkok"":""10"",""bege"":""3.5"",""medical"":""125""}",1221.85,5,2022,01/04/2023 18:08,01/04/2023 18:08
